Table 1,,,,,,,,,Machine Failure Logs (Table 2: Failure_Records),,,,,,,,Maintenance Schedule (Table 3: Maintenance_Log)	,,,,,,,Machine Usage (Table 4: Machine_Usage),,,,,,
Machine_ID,Date,Spindle_Speed_RPM,Vibration_Level (mm/s),Temperature (Â°C),Operation_Hours,Machine_Status,Predicted_Failure,,Machine_ID,Failure_Date,Failure_Type,Downtime_Hours,Repair_Time (hours),Issue_Resolved_By,Comments,,Machine_ID,Last_Maintenance_Date,Next_Scheduled_Maintenance,Maintenance_Type,Technician_Name,Maintenance_Comments,,Machine_ID,Date,Parts_Produced,Production_Quality,Rejection_Rate (%),Idle_Time (hours),Operator_Name
CNC006,2024-09-02,4300,2.3,79,10,Running,No,,CNC006,2024-08-18,Motor Failure,6,4,Technician F,Replaced motor,,CNC006,2024-08-02,2024-09-16,Routine Inspection,Technician F,"Routine oiling, checked bearings",,CNC006,2024-09-02,152,High,1.2,0.3,Operator F
CNC007,2024-09-02,3700,2,84,9,Running,Yes,,CNC007,2024-08-22,Overheating,4,3,Technician G,Adjusted cooling system,,CNC007,2024-08-03,2024-09-17,Vibration Control,Technician G,Adjusted vibration damping,,CNC007,2024-09-02,138,Medium,2.9,1.1,Operator G
CNC008,2024-09-02,4400,2.4,82,8,Running,No,,CNC008,2024-08-12,Vibration Issue,5,2,Technician H,Tightened bearings,,CNC008,2024-08-12,2024-09-22,Temperature Check,Technician H,Inspected cooling system,,CNC008,2024-09-02,165,High,1.7,0.4,Operator H
CNC009,2024-09-02,4000,3,88,12,Running,Yes,,CNC009,2024-07-30,Electrical Failure,7,5,Technician I,Rewired machine,,CNC009,2024-08-06,2024-09-19,Electrical System,Technician I,Checked electrical components,,CNC009,2024-09-02,142,Low,4.2,1.3,Operator I
CNC010,2024-09-02,4700,3.2,91,11,Running,Yes,,CNC010,2024-08-04,Spindle Breakdown,8,6,Technician J,Replaced spindle motor,,CNC010,2024-08-14,2024-09-23,Spindle Inspection,Technician J,Checked spindle alignment,,CNC010,2024-09-02,158,High,1.6,0.5,Operator J
CNC011,2024-09-03,4500,2.2,80,10,Running,No,,CNC011,2024-08-16,Motor Failure,6,4,Technician K,Replaced motor,,CNC011,2024-08-04,2024-09-15,Routine Inspection,Technician K,"Routine oiling, checked bearings",,CNC011,2024-09-03,149,High,1.4,0.4,Operator K
CNC012,2024-09-03,3650,1.9,83,9,Running,Yes,,CNC012,2024-08-24,Overheating,4,3,Technician L,Adjusted cooling system,,CNC012,2024-08-08,2024-09-18,Vibration Control,Technician L,Adjusted vibration damping,,CNC012,2024-09-03,135,Medium,3.1,1,Operator L
CNC013,2024-09-03,4250,2.6,84,8,Running,No,,CNC013,2024-08-14,Vibration Issue,5,2,Technician M,Tightened bearings,,CNC013,2024-08-10,2024-09-20,Temperature Check,Technician M,Inspected cooling system,,CNC013,2024-09-03,162,High,1.8,0.5,Operator M
CNC014,2024-09-03,4050,2.8,89,12,Running,Yes,,CNC014,2024-07-29,Electrical Failure,7,5,Technician N,Rewired machine,,CNC014,2024-08-07,2024-09-19,Electrical System,Technician N,Checked electrical components,,CNC014,2024-09-03,144,Low,4.3,1.4,Operator N
CNC015,2024-09-03,4550,3.3,93,11,Running,Yes,,CNC015,2024-08-03,Spindle Breakdown,8,6,Technician O,Replaced spindle motor,,CNC015,2024-08-11,2024-09-21,Spindle Inspection,Technician O,Checked spindle alignment,,CNC015,2024-09-03,157,High,1.5,0.6,Operator O
CNC016,2024-09-04,4450,2.1,77,10,Running,No,,CNC016,2024-08-17,Motor Failure,6,4,Technician P,Replaced motor,,CNC016,2024-08-05,2024-09-17,Routine Inspection,Technician P,"Routine oiling, checked bearings",,CNC016,2024-09-04,150,High,1.3,0.5,Operator P
CNC017,2024-09-04,3750,1.7,86,9,Running,Yes,,CNC017,2024-08-25,Overheating,4,3,Technician Q,Adjusted cooling system,,CNC017,2024-08-13,2024-09-25,Vibration Control,Technician Q,Adjusted vibration damping,,CNC017,2024-09-04,137,Medium,3,1.2,Operator Q
CNC018,2024-09-04,4350,2.5,83,8,Running,No,,CNC018,2024-08-13,Vibration Issue,5,2,Technician R,Tightened bearings,,CNC018,2024-08-09,2024-09-23,Temperature Check,Technician R,Inspected cooling system,,CNC018,2024-09-04,161,High,1.6,0.4,Operator R
CNC019,2024-09-04,4150,3,87,12,Running,Yes,,CNC019,2024-07-31,Electrical Failure,7,5,Technician S,Rewired machine,,CNC019,2024-08-06,2024-09-20,Electrical System,Technician S,Checked electrical components,,CNC019,2024-09-04,143,Low,4.1,1.3,Operator S
CNC020,2024-09-04,4650,3.2,89,11,Running,Yes,,CNC020,2024-08-05,Spindle Breakdown,8,6,Technician T,Replaced spindle motor,,CNC020,2024-08-15,2024-09-26,Spindle Inspection,Technician T,Checked spindle alignment,,CNC020,2024-09-04,159,High,1.4,0.5,Operator T
CNC021,2024-09-05,4550,2.3,81,10,Running,No,,CNC021,2024-08-19,Motor Failure,6,4,Technician U,Replaced motor,,CNC021,2024-08-01,2024-09-15,Routine Inspection,Technician U,"Routine oiling, checked bearings",,CNC021,2024-09-05,151,High,1.2,0.3,Operator U
CNC022,2024-09-05,3800,2,84,9,Running,Yes,,CNC022,2024-08-23,Overheating,4,3,Technician V,Adjusted cooling system,,CNC022,2024-08-03,2024-09-17,Vibration Control,Technician V,Adjusted vibration damping,,CNC022,2024-09-05,139,Medium,3.2,1.1,Operator V
CNC023,2024-09-05,4250,2.7,82,8,Running,No,,CNC023,2024-08-11,Vibration Issue,5,2,Technician W,Tightened bearings,,CNC023,2024-08-12,2024-09-22,Temperature Check,Technician W,Inspected cooling system,,CNC023,2024-09-05,163,High,1.7,0.4,Operator W
CNC024,2024-09-05,4100,3.1,88,12,Running,Yes,,CNC024,2024-07-27,Electrical Failure,7,5,Technician X,Rewired machine,,CNC024,2024-08-05,2024-09-19,Electrical System,Technician X,Checked electrical components,,CNC024,2024-09-05,141,Low,4.4,1.5,Operator X
CNC025,2024-09-05,4600,3.4,90,11,Running,Yes,,CNC025,2024-08-01,Spindle Breakdown,8,6,Technician Y,Replaced spindle motor,,CNC025,2024-08-14,2024-09-24,Spindle Inspection,Technician Y,Checked spindle alignment,,CNC025,2024-09-05,156,High,1.5,0.6,Operator Y
CNC026,2024-09-06,4500,2.4,79,10,Running,No,,CNC026,2024-08-21,Motor Failure,6,4,Technician Z,Replaced motor,,CNC026,2024-08-04,2024-09-16,Routine Inspection,Technician Z,"Routine oiling, checked bearings",,CNC026,2024-09-06,153,High,1.4,0.3,Operator Z
CNC027,2024-09-06,3650,1.8,85,9,Running,Yes,,CNC027,2024-08-26,Overheating,4,3,Technician A,Adjusted cooling system,,CNC027,2024-08-10,2024-09-20,Vibration Control,Technician A,Adjusted vibration damping,,CNC027,2024-09-06,136,Medium,3,1,Operator A
CNC028,2024-09-06,4400,2.6,80,8,Running,No,,CNC028,2024-08-15,Vibration Issue,5,2,Technician B,Tightened bearings,,CNC028,2024-08-11,2024-09-21,Temperature Check,Technician B,Inspected cooling system,,CNC028,2024-09-06,164,High,1.8,0.4,Operator B
CNC029,2024-09-06,4200,3.1,87,12,Running,Yes,,CNC029,2024-07-28,Electrical Failure,7,5,Technician C,Rewired machine,,CNC029,2024-08-06,2024-09-19,Electrical System,Technician C,Checked electrical components,,CNC029,2024-09-06,140,Low,4.3,1.2,Operator C
CNC030,2024-09-06,4700,3.3,89,11,Running,Yes,,CNC030,2024-08-02,Spindle Breakdown,8,6,Technician D,Replaced spindle motor,,CNC030,2024-08-15,2024-09-26,Spindle Inspection,Technician D,Checked spindle alignment,,CNC030,2024-09-06,154,High,1.6,0.5,Operator D
CNC031,2024-09-07,4350,2.2,78,10,Running,No,,CNC031,2024-08-20,Motor Failure,6,4,Technician E,Replaced motor,,CNC031,2024-08-02,2024-09-18,Routine Inspection,Technician E,"Routine oiling, checked bearings",,CNC031,2024-09-07,148,High,1.3,0.4,Operator E
CNC032,2024-09-07,3700,1.9,83,9,Running,Yes,,CNC032,2024-08-22,Overheating,4,3,Technician F,Adjusted cooling system,,CNC032,2024-08-03,2024-09-19,Vibration Control,Technician F,Adjusted vibration damping,,CNC032,2024-09-07,133,Medium,3.1,1.1,Operator F
CNC033,2024-09-07,4450,2.8,82,8,Running,No,,CNC033,2024-08-14,Vibration Issue,5,2,Technician G,Tightened bearings,,CNC033,2024-08-10,2024-09-20,Temperature Check,Technician G,Inspected cooling system,,CNC033,2024-09-07,166,High,1.9,0.5,Operator G
CNC034,2024-09-07,4050,3,88,12,Running,Yes,,CNC034,2024-07-29,Electrical Failure,7,5,Technician H,Rewired machine,,CNC034,2024-08-05,2024-09-19,Electrical System,Technician H,Checked electrical components,,CNC034,2024-09-07,139,Low,4.2,1.4,Operator H
CNC035,2024-09-07,4750,3.2,91,11,Running,Yes,,CNC035,2024-08-04,Spindle Breakdown,8,6,Technician I,Replaced spindle motor,,CNC035,2024-08-13,2024-09-23,Spindle Inspection,Technician I,Checked spindle alignment,,CNC035,2024-09-07,155,High,1.7,0.6,Operator I
CNC036,2024-09-08,4500,2.1,79,10,Running,No,,CNC036,2024-08-16,Motor Failure,6,4,Technician J,Replaced motor,,CNC036,2024-08-04,2024-09-17,Routine Inspection,Technician J,"Routine oiling, checked bearings",,CNC036,2024-09-08,151,High,1.4,0.4,Operator J
CNC037,2024-09-08,3600,1.8,85,9,Running,Yes,,CNC037,2024-08-24,Overheating,4,3,Technician K,Adjusted cooling system,,CNC037,2024-08-12,2024-09-25,Vibration Control,Technician K,Adjusted vibration damping,,CNC037,2024-09-08,134,Medium,3.3,1.2,Operator K
CNC038,2024-09-08,4400,2.5,82,8,Running,No,,CNC038,2024-08-10,Vibration Issue,5,2,Technician L,Tightened bearings,,CNC038,2024-08-08,2024-09-21,Temperature Check,Technician L,Inspected cooling system,,CNC038,2024-09-08,167,High,1.6,0.5,Operator L
CNC039,2024-09-08,4150,2.9,89,12,Running,Yes,,CNC039,2024-07-31,Electrical Failure,7,5,Technician M,Rewired machine,,CNC039,2024-08-07,2024-09-22,Electrical System,Technician M,Checked electrical components,,CNC039,2024-09-08,138,Low,4.5,1.3,Operator M
CNC040,2024-09-08,4650,3.1,92,11,Running,Yes,,CNC040,2024-08-06,Spindle Breakdown,8,6,Technician N,Replaced spindle motor,,CNC040,2024-08-15,2024-09-26,Spindle Inspection,Technician N,Checked spindle alignment,,CNC040,2024-09-08,153,High,1.5,0.6,Operator N
,,,,,,,,,CNC041,2024-08-18,Motor Failure,6,4,Technician O,Replaced motor,,CNC041,2024-08-03,2024-09-17,Routine Inspection,Technician O,"Routine oiling, checked bearings",,CNC041,2024-09-09,152,High,1.2,0.4,Operator O
,,,,,,,,,CNC042,2024-08-23,Overheating,4,3,Technician P,Adjusted cooling system,,CNC042,2024-08-09,2024-09-23,Vibration Control,Technician P,Adjusted vibration damping,,CNC042,2024-09-09,137,Medium,3,1.1,Operator P
,,,,,,,,,CNC043,2024-08-12,Vibration Issue,5,2,Technician Q,Tightened bearings,,CNC043,2024-08-11,2024-09-24,Temperature Check,Technician Q,Inspected cooling system,,CNC043,2024-09-09,164,High,1.9,0.5,Operator Q
,,,,,,,,,CNC044,2024-07-27,Electrical Failure,7,5,Technician R,Rewired machine,,CNC044,2024-08-08,2024-09-21,Electrical System,Technician R,Checked electrical components,,CNC044,2024-09-09,143,Low,4.3,1.2,Operator R
,,,,,,,,,CNC045,2024-08-03,Spindle Breakdown,8,6,Technician S,Replaced spindle motor,,CNC045,2024-08-14,2024-09-25,Spindle Inspection,Technician S,Checked spindle alignment,,CNC045,2024-09-09,157,High,1.6,0.6,Operator S
,,,,,,,,,CNC046,2024-08-19,Motor Failure,6,4,Technician T,Replaced motor,,CNC046,2024-08-05,2024-09-18,Routine Inspection,Technician T,"Routine oiling, checked bearings",,CNC046,2024-09-10,150,High,1.3,0.4,Operator T
,,,,,,,,,CNC047,2024-08-25,Overheating,4,3,Technician U,Adjusted cooling system,,CNC047,2024-08-12,2024-09-25,Vibration Control,Technician U,Adjusted vibration damping,,CNC047,2024-09-10,136,Medium,3.2,1,Operator U
,,,,,,,,,CNC048,2024-08-13,Vibration Issue,5,2,Technician V,Tightened bearings,,CNC048,2024-08-09,2024-09-22,Temperature Check,Technician V,Inspected cooling system,,CNC048,2024-09-10,165,High,1.8,0.5,Operator V
,,,,,,,,,CNC049,2024-07-30,Electrical Failure,7,5,Technician W,Rewired machine,,CNC049,2024-08-10,2024-09-24,Electrical System,Technician W,Checked electrical components,,CNC049,2024-09-10,142,Low,4.4,1.3,Operator W
,,,,,,,,,CNC050,2024-08-05,Spindle Breakdown,8,6,Technician X,Replaced spindle motor,,CNC050,2024-08-13,2024-09-26,Spindle Inspection,Technician X,Checked spindle alignment,,CNC050,2024-09-10,158,High,1.7,0.6,Operator X
,,,,,,,,,CNC051,2024-08-17,Motor Failure,6,4,Technician Y,Replaced motor,,,,,,,,,,,,,,,
,,,,,,,,,CNC052,2024-08-26,Overheating,4,3,Technician Z,Adjusted cooling system,,,,,,,,,,,,,,,
,,,,,,,,,CNC053,2024-08-15,Vibration Issue,5,2,Technician A,Tightened bearings,,,,,,,,,,,,,,,
,,,,,,,,,CNC054,2024-07-28,Electrical Failure,7,5,Technician B,Rewired machine,,,,,,,,,,,,,,,
,,,,,,,,,CNC055,2024-08-02,Spindle Breakdown,8,6,Technician C,Replaced spindle motor,,,,,,,,,,,,,,,